Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.281446	0.287772	89.753333	89.640000	
0.100000	0.287303	0.259416	89.503333	90.700000	
0.100000	0.288117	0.258130	89.521667	90.640000	
0.100000	0.285159	0.243120	89.616667	91.490000	
0.100000	0.284967	0.322616	89.653333	88.100000	
0.100000	0.284190	0.265612	89.570000	90.410000	
0.100000	0.287009	0.253870	89.621667	91.080000	
0.100000	0.287229	0.287937	89.495000	89.010000	
0.100000	0.283195	0.319932	89.583333	88.480000	
0.100000	0.284857	0.272111	89.741667	89.860000	
0.100000	0.284626	0.249372	89.545000	91.140000	
0.100000	0.283162	0.249302	89.631667	90.920000	
0.100000	0.282234	0.294770	89.655000	89.110000	
0.100000	0.283228	0.399365	89.560000	85.690000	
0.100000	0.284500	0.324985	89.611667	88.990000	
0.100000	0.284206	0.241315	89.708333	91.120000	
0.100000	0.281205	0.275181	89.636667	90.090000	
0.100000	0.285076	0.267157	89.511667	90.690000	
0.100000	0.284198	0.343553	89.570000	88.520000	
0.100000	0.284180	0.265368	89.766667	90.350000	
0.100000	0.282957	0.252842	89.646667	90.720000	
0.100000	0.282039	0.236953	89.615000	91.260000	
0.100000	0.281552	0.380947	89.751667	85.900000	
0.100000	0.280128	0.370446	89.891667	87.370000	
0.100000	0.281582	0.244140	89.745000	91.020000	
0.100000	0.283548	0.287620	89.733333	89.580000	
0.100000	0.280975	0.304592	89.731667	89.040000	
0.100000	0.288493	0.249154	89.391667	91.020000	
0.100000	0.286606	0.302237	89.525000	88.160000	
0.100000	0.279727	0.258568	89.811667	90.530000	
0.100000	0.282168	0.276755	89.655000	89.660000	
0.100000	0.282700	0.255586	89.706667	90.880000	
0.100000	0.282519	0.295735	89.753333	89.230000	
0.100000	0.280019	0.250527	89.741667	90.840000	
0.100000	0.285192	0.297405	89.583333	89.650000	
0.100000	0.279907	0.281112	89.663333	90.030000	
0.100000	0.285361	0.278377	89.600000	89.870000	
0.100000	0.281863	0.328185	89.725000	88.790000	
0.100000	0.280263	0.287109	89.701667	89.120000	
0.100000	0.278675	0.366384	89.900000	87.030000	
0.100000	0.282944	0.293608	89.713333	89.860000	
0.100000	0.276841	0.331341	89.863333	87.750000	
0.100000	0.279339	0.231797	89.866667	91.530000	
0.100000	0.279488	0.344486	89.856667	87.190000	
0.100000	0.279295	0.268328	89.685000	90.460000	
0.100000	0.281940	0.313813	89.691667	88.520000	
0.100000	0.278787	0.315097	89.828333	88.780000	
0.100000	0.283072	0.275916	89.683333	89.540000	
0.100000	0.277951	0.389499	89.823333	86.050000	
0.100000	0.278597	0.286428	89.773333	89.940000	
0.100000	0.281176	0.295048	89.740000	89.650000	
